mode: set
pvz/internal/db/db.go:12.39,17.16 4 0
pvz/internal/middleware/validations/validators.go:34.36,35.97 1 0
pvz/internal/middleware/validations/validators.go:35.97,37.3 1 0
pvz/internal/middleware/validations/validators.go:37.8,39.3 1 0
pvz/internal/middleware/validations/validators.go:42.35,43.40 1 0
pvz/internal/middleware/validations/validators.go:43.40,45.3 1 0
pvz/internal/middleware/validations/validators.go:45.8,47.3 1 0
pvz/internal/repository/entities/pvz.go:16.37,22.2 1 0
pvz/internal/repository/entities/pvz.go:24.37,30.2 1 0
pvz/internal/repository/entities/receptions.go:17.57,24.2 1 0
pvz/internal/repository/entities/receptions.go:26.53,33.2 1 0
pvz/internal/repository/entities/user.go:17.41,21.19 3 0
pvz/internal/repository/entities/user.go:21.19,23.3 1 0
pvz/internal/repository/entities/user.go:23.8,25.17 2 0
pvz/internal/repository/entities/user.go:25.17,28.4 2 0
pvz/internal/repository/entities/user.go:31.2,36.3 1 0
pvz/internal/repository/entities/user.go:39.40,46.2 1 0
pvz/internal/service/mocks/mocks_pvz.go:14.90,17.2 2 0
pvz/internal/service/mocks/mocks_pvz.go:19.81,22.2 2 0
pvz/internal/service/mocks/mocks_reception.go:14.105,17.2 2 0
pvz/internal/service/mocks/mocks_reception.go:19.120,22.2 2 0
pvz/internal/service/mocks/mocks_user.go:14.95,17.2 2 0
pvz/internal/service/mocks/mocks_user.go:19.93,22.2 2 0
pvz/internal/server/server.go:15.95,21.12 2 0
pvz/internal/server/server.go:21.12,23.77 2 0
pvz/internal/server/server.go:23.77,26.4 2 0
pvz/internal/server/server.go:29.2,39.42 8 0
pvz/internal/server/server.go:39.42,42.3 2 0
pvz/internal/server/server.go:44.2,44.9 1 0
pvz/internal/server/server.go:45.20,46.43 1 0
pvz/internal/server/server.go:47.10,48.42 1 0
pvz/internal/handler/mocks/mocks_pvz.go:16.91,19.2 2 1
pvz/internal/handler/mocks/mocks_reception.go:15.136,18.2 2 0
pvz/internal/handler/mocks/mocks_user.go:14.96,17.2 2 0
pvz/internal/handler/mocks/mocks_user.go:19.88,22.2 2 0
pvz/internal/handler/mocks/mocks_user.go:24.91,27.2 2 0
pvz/internal/mapper/pvz.go:8.64,12.2 1 1
pvz/internal/mapper/pvz.go:14.66,20.2 1 1
pvz/internal/mapper/reception.go:11.67,13.16 2 0
pvz/internal/mapper/reception.go:13.16,16.3 2 0
pvz/internal/mapper/reception.go:17.2,19.3 1 0
pvz/internal/mapper/reception.go:22.76,29.2 1 0
pvz/internal/mapper/reception.go:31.59,33.16 2 0
pvz/internal/mapper/reception.go:33.16,36.3 2 0
pvz/internal/mapper/reception.go:37.2,39.3 1 0
pvz/internal/mapper/user.go:8.87,14.2 1 0
pvz/internal/mapper/user.go:16.67,22.2 1 0
pvz/internal/mapper/user.go:24.72,29.2 1 0
pvz/internal/middleware/auth/hash_password.go:10.60,12.16 2 0
pvz/internal/middleware/auth/hash_password.go:12.16,15.3 2 0
pvz/internal/middleware/auth/hash_password.go:17.2,17.28 1 0
pvz/internal/middleware/auth/hash_password.go:20.52,22.2 1 0
pvz/internal/middleware/auth/jwt.go:13.47,22.2 4 0
pvz/internal/middleware/auth/jwt.go:24.51,25.30 1 0
pvz/internal/middleware/auth/jwt.go:25.30,27.14 2 0
pvz/internal/middleware/auth/jwt.go:27.14,30.4 2 0
pvz/internal/middleware/auth/jwt.go:32.3,34.34 3 0
pvz/internal/middleware/auth/jwt.go:34.34,37.4 2 0
pvz/internal/middleware/auth/jwt.go:39.3,39.11 1 0
pvz/internal/middleware/auth/jwt.go:43.36,44.30 1 0
pvz/internal/middleware/auth/jwt.go:44.30,46.23 2 0
pvz/internal/middleware/auth/jwt.go:46.23,49.4 2 0
pvz/internal/middleware/auth/jwt.go:51.3,55.77 3 0
pvz/internal/middleware/auth/jwt.go:55.77,57.4 1 0
pvz/internal/middleware/auth/jwt.go:58.3,58.33 1 0
pvz/internal/middleware/auth/jwt.go:58.33,61.4 2 0
pvz/internal/middleware/auth/jwt.go:63.3,64.10 2 0
pvz/internal/middleware/auth/jwt.go:64.10,67.4 2 0
pvz/internal/middleware/auth/jwt.go:69.3,70.11 2 0
pvz/internal/middleware/logs/logger.go:11.33,27.2 4 1
pvz/internal/middleware/validations/validators.go:10.38,14.2 2 0
pvz/internal/middleware/validations/validators.go:16.36,17.47 1 0
pvz/internal/middleware/validations/validators.go:17.47,19.3 1 0
pvz/internal/middleware/validations/validators.go:19.8,21.3 1 0
pvz/internal/middleware/validations/validators.go:24.37,25.16 1 0
pvz/internal/middleware/validations/validators.go:25.16,27.3 1 0
pvz/internal/middleware/validations/validators.go:28.2,31.31 3 0
pvz/internal/middleware/validations/validators.go:34.36,35.97 1 1
pvz/internal/middleware/validations/validators.go:35.97,37.3 1 1
pvz/internal/middleware/validations/validators.go:37.8,39.3 1 0
pvz/internal/middleware/validations/validators.go:42.35,43.40 1 0
pvz/internal/middleware/validations/validators.go:43.40,45.3 1 0
pvz/internal/middleware/validations/validators.go:45.8,47.3 1 0
pvz/internal/repository/pvz.go:17.77,19.2 1 1
pvz/internal/repository/pvz.go:21.90,31.16 4 1
pvz/internal/repository/pvz.go:31.16,34.3 2 1
pvz/internal/repository/pvz.go:36.2,37.17 2 0
pvz/internal/repository/pvz.go:41.81,47.16 4 1
pvz/internal/repository/pvz.go:47.16,49.3 1 1
pvz/internal/repository/pvz.go:50.2,50.18 1 0
pvz/internal/repository/reception.go:19.89,21.2 1 1
pvz/internal/repository/reception.go:23.105,35.50 4 1
pvz/internal/repository/reception.go:35.50,38.3 2 1
pvz/internal/repository/reception.go:40.2,40.24 1 0
pvz/internal/repository/reception.go:43.120,54.16 5 1
pvz/internal/repository/reception.go:54.16,57.3 2 1
pvz/internal/repository/reception.go:59.2,61.23 2 0
pvz/internal/repository/user.go:17.79,19.2 1 1
pvz/internal/repository/user.go:21.95,30.16 4 1
pvz/internal/repository/user.go:30.16,33.3 2 1
pvz/internal/repository/user.go:35.2,36.25 2 0
pvz/internal/repository/user.go:39.93,49.16 4 0
pvz/internal/repository/user.go:49.16,52.3 2 0
pvz/internal/repository/user.go:54.2,54.40 1 0
pvz/internal/repository/entities/pvz.go:16.37,22.2 1 1
pvz/internal/repository/entities/pvz.go:24.37,30.2 1 0
pvz/internal/repository/entities/receptions.go:17.57,24.2 1 1
pvz/internal/repository/entities/receptions.go:26.53,33.2 1 0
pvz/internal/repository/entities/user.go:17.41,21.19 3 1
pvz/internal/repository/entities/user.go:21.19,23.3 1 1
pvz/internal/repository/entities/user.go:23.8,25.17 2 0
pvz/internal/repository/entities/user.go:25.17,28.4 2 0
pvz/internal/repository/entities/user.go:31.2,36.3 1 1
pvz/internal/repository/entities/user.go:39.40,46.2 1 0
pvz/internal/middleware/auth/hash_password.go:10.60,12.16 2 1
pvz/internal/middleware/auth/hash_password.go:12.16,15.3 2 0
pvz/internal/middleware/auth/hash_password.go:17.2,17.28 1 1
pvz/internal/middleware/auth/hash_password.go:20.52,22.2 1 1
pvz/internal/middleware/auth/jwt.go:13.47,22.2 4 1
pvz/internal/middleware/auth/jwt.go:24.51,25.30 1 0
pvz/internal/middleware/auth/jwt.go:25.30,27.14 2 0
pvz/internal/middleware/auth/jwt.go:27.14,30.4 2 0
pvz/internal/middleware/auth/jwt.go:32.3,34.34 3 0
pvz/internal/middleware/auth/jwt.go:34.34,37.4 2 0
pvz/internal/middleware/auth/jwt.go:39.3,39.11 1 0
pvz/internal/middleware/auth/jwt.go:43.36,44.30 1 0
pvz/internal/middleware/auth/jwt.go:44.30,46.23 2 0
pvz/internal/middleware/auth/jwt.go:46.23,49.4 2 0
pvz/internal/middleware/auth/jwt.go:51.3,55.77 3 0
pvz/internal/middleware/auth/jwt.go:55.77,57.4 1 0
pvz/internal/middleware/auth/jwt.go:58.3,58.33 1 0
pvz/internal/middleware/auth/jwt.go:58.33,61.4 2 0
pvz/internal/middleware/auth/jwt.go:63.3,64.10 2 0
pvz/internal/middleware/auth/jwt.go:64.10,67.4 2 0
pvz/internal/middleware/auth/jwt.go:69.3,70.11 2 0
pvz/internal/service/pvz.go:19.71,21.2 1 1
pvz/internal/service/pvz.go:23.87,25.2 1 1
pvz/internal/service/reception.go:21.105,23.2 1 1
pvz/internal/service/reception.go:25.132,27.16 2 1
pvz/internal/service/reception.go:27.16,30.3 2 0
pvz/internal/service/reception.go:31.2,31.9 1 1
pvz/internal/service/reception.go:31.9,34.3 2 1
pvz/internal/service/reception.go:35.2,36.16 2 1
pvz/internal/service/reception.go:36.16,38.3 1 1
pvz/internal/service/reception.go:39.2,39.29 1 1
pvz/internal/service/reception.go:39.29,42.3 2 1
pvz/internal/service/reception.go:43.2,44.16 2 1
pvz/internal/service/reception.go:44.16,47.3 2 1
pvz/internal/service/reception.go:48.2,48.15 1 1
pvz/internal/service/user.go:22.73,24.2 1 1
pvz/internal/service/user.go:26.92,28.2 1 1
pvz/internal/service/user.go:30.84,32.16 2 1
pvz/internal/service/user.go:32.16,35.3 2 0
pvz/internal/service/user.go:36.2,36.19 1 1
pvz/internal/service/user.go:39.87,42.16 2 1
pvz/internal/service/user.go:42.16,45.3 2 0
pvz/internal/service/user.go:48.2,48.71 1 1
pvz/internal/service/user.go:48.71,51.3 2 1
pvz/internal/service/user.go:54.2,55.16 2 1
pvz/internal/service/user.go:55.16,58.3 2 0
pvz/internal/service/user.go:60.2,60.19 1 1
pvz/internal/service/mocks/mocks_pvz.go:14.90,17.2 2 1
pvz/internal/service/mocks/mocks_pvz.go:19.81,22.2 2 1
pvz/internal/service/mocks/mocks_reception.go:14.105,17.2 2 1
pvz/internal/service/mocks/mocks_reception.go:19.120,22.2 2 1
pvz/internal/service/mocks/mocks_user.go:14.95,17.2 2 1
pvz/internal/service/mocks/mocks_user.go:19.93,22.2 2 1
